"Cosmos Name","RA","Dec","z_l","R_arc","Reff","n","mag_814W","P.A.","ell","mag_814W_src"

"0012 + 2015","10 00 12.6","+02 20 15","0.41","0.90","0.53","8.1","19.28","-10.2","0.25","21.6"
"0013 + 2249","10 00 13.9","+02 22 49","0.38","1.65","0.90","3.9","18.89","38.2","0.16","22.4"
"0018 + 3845","10 00 18.4","+02 38 45","0.71","0.40","0.29","5.6","23.60","-21.8","0.23","22.7"
"0038 + 4133","10 00 38.2","+02 41 33","0.89","0.74","0.72","5.2","20.39","-2.9","0.26","20.5"
"0047 + 5023","10 00 47.6","+01 50 23","0.85","0.70","0.72","1.9","20.65","33.4","0.05","22.8"
"0049 + 5128","10 00 49.2","+01 51 28","0.33","2.22","1.07","1.2","19.61","-24.6","0.22","23.3"
"0050 + 4901f","10 00 50.6","+02 49 01","1.01","1.90","0.36","2.9","21.72","26.6","0.39","22.7"
"0056 + 1226","10 00 56.7","+02 12 26","0.44","1.20","0.96","4.6","18.70","40.3","0.00","23.3"
"0124 + 5121","10 01 24.5","+01 51 21","0.84","0.84","0.24","2.4","22.43","-51.4","0.25","23.2"
"0211 + 1139","10 02 11.2","+02 11 39","0.90","3.20","0.74","4.1","21.09","11.0","0.35","21.6"
"0216 + 2955","10 02 16.8","+02 29 55","0.67","1.96","0.90","6.1","19.98","-16.6","0.06","22.0"
"0227 + 0451","10 02 27.5","+02 04 51","0.89","1.62","0.30","6.3","21.94","80.9","0.33","22.3"
"0254 + 1430","10 02 54.0","+02 14 30","","1.54","","","","-56.5","0.40","22.1"
"5737 + 3424f","09 57 37.0","+02 34 24","","12.0","","","","","",""
"5758 + 1525f","09 57 58.6","+02 15 25","","0.35","","","","","","21.7"
"5857 + 5949","09 58 57.0","+01 59 49","0.39","2.15","0.61","1.4","20.05","-32.8","0.36","21.9"
"5914 + 1219","09 59 14.7","+02 12 19","1.05","1.86","0.27","3.9","23.25","14.4","0.08","22.8"
"5921 + 0638","09 59 21.7","+02 06 38","0.45","0.80","0.49","6.8","20.34","29.9","0.08","20.6"
"5941 + 3628","09 59 41.3","+02 36 28","0.90","1.21","0.76","1.0","20.91","-5.4","0.08","22.8"
"5947 + 4752","09 59 47.8","+02 47 52","0.28","2.55","0.51","1.6","19.83","4.1","0.07","22.8"
