"Cosmos Name","RA","Dec","z_l","R_arc","Reff","n","mag_814W","P.A.","ell","mag_814W_src"

"0009 + 2455","10 00 09.7","+02 24 55","0.39","2.63","0.70","3.7","19.49","-2.5","0.31","22.6"
"0028 + 1919","10 00 28.6","+02 19 19","0.61","1.87","0.45","1.7","20.34","34.9","0.13","22.6"
"0029 + 4018","10 00 29.6","+02 40 18","0.83","2.99","0.83","2.6","18.94","47.4","0.00","22.7"
"0047 + 2931","10 00 47.1","+02 29 31","0.32","2.00","0.73","2.3","19.56","-38.4","0.29","21.6"
"0050 + 0357","10 00 50.8","+02 03 57","0.84","0.66","0.31","2.8","22.31","-44.7","0.40","22.5"
"0055 + 3821","10 00 55.7","+01 38 21","0.66","1.05","0.40","2.4","20.86","10.3","0.14","21.8"
"0056 + 2106","10 00 56.7","+02 21 06","0.65","1.75","0.34","3.4","21.21","84.7","0.02","23.3"
"0104 + 2046","10 01 04.9","+02 20 46","0.94","3.54","0.11","3.8","24.27","-0.7","0.31","21.9"
"0104 + 2501","10 01 04.6","+02 25 01","0.22","3.26","","","","","","21.8"
"0105 + 4531","10 01 05.3","+02 45 31","0.44","1.00","0.47","3.4","20.38","15.9","0.00","22.3"
"0107 + 0533","10 01 07.9","+02 05 33","0.90","1.71","0.24","3.2","21.83","-70.4","0.04","22.7"
"0108 + 5606","10 01 08.0","+01 56 06","0.97","1.25","0.20","1.8","22.81","-61.5","0.24","23.4"
"0120 + 4551","10 01 20.2","+01 45 51","0.82","1.28","","","","","","22.9"
"0148 + 2325","10 01 48.1","+02 23 25","0.40","1.43","1.27","2.9","18.81","-35.1","0.00","22.0"
"0208 + 1422","10 02 08.5","+02 14 22","0.41","1.59","0.45","7.7","20.06","-52.0","0.00","22.0"
"0220 + 2335","10 02 20.2","+02 23 35","0.65","1.04","0.60","1.7","20.99","87.2","0.00","21.8"
"0221 + 3440","10 02 21.1","+02 34 40","0.41","1.57","1.06","5.5","19.35","-22.7","0.04","22.3"
"0236 + 4807","10 02 36.0","+02 48 07","0.34","1.27","0.68","1.8","20.15","22.0","0.11","23.2"
"0248 + 1422","10 02 48.4","+02 14 22","0.60","1.38","0.22","5.5","21.72","18.8","0.24","22.8"
"5748 + 5524","09 57 48.0","+01 55 24","0.93","2.21","0.33","1.4","22.15","89.9","0.00","21.6"
"5750 + 5619","09 57 50.7","+01 56 19","0.28","0.73","","","","","","21.8"
"5752 + 2057","09 57 52.1","+02 20 57","0.44","0.98","0.51","1.0","20.27","3.8","0.14","21.6"
"5754 + 5952","09 57 54.1","+01 59 52","0.90","1.33","0.22","6.9","22.23","-16.5","0.43","22.6"
"5805 + 0413","09 58 05.6","+02 04 13","0.88","1.61","0.12","4.8","23.00","-81.6","0.16","22.8"
"5806 + 5809","09 58 06.8","+01 58 09","0.32","1.50","0.43","2.9","19.14","-13.6","0.00","21.7"
"5821 + 4437f","09 58 21.4","+01 44 37","0.67","1.40","0.21","3.5","21.84","00.0","0.28","22.9"
"5829 + 3734f","09 58 29.9","+01 37 34","0.51","2.97","0.46","1.6","19.95","-0.1","1.15","22.3"
"5831 + 4332f","09 58 31.0","+01 43 32","","1.17","","","","","","21.0"
"5841 + 4646","09 58 41.4","+02 46 46","0.36","0.93","0.47","0.9","19.65","21.1","0.12","21.0"
"5851 + 1813","09 58 51.9","+02 18 13","0.29","2.57","","","","","","21.9"
"5856 + 4755","09 58 56.1","+02 47 55","0.32","2.97","0.17","1.1","19.54","48.8","0.39","22.9"
"5906 + 4524","09 59 06.5","+02 45 24","0.37","1.50","","","","","","21.6"
"5919 + 3853","09 59 19.4","+01 38 53","0.40","2.35","0.26","1.9","20.59","-15.7","0.08","22.7"
"5924 + 0852","09 59 24.7","+02 08 52","0.93","0.97","0.17","1.6","23.09","-9.8","0.01","22.7"
"5925 + 3039","09 59 25.8","+02 30 39","0.91","0.98","0.15","1.2","23.16","89.9","0.38","23.2"
"5929 + 1352","09 59 29.9","+02 13 52","0.36","2.46","","","","","","22.0"
"5929 + 4553","09 59 29.0","+01 45 53","0.54","1.56","0.67","2.1","19.99","-23.2","0.06","22.3"
"5931 + 0229","09 59 31.1","+02 02 29","0.32","1.48","0.81","1.9","19.20","89.9","0.01","21.6"
"5932 + 1018","09 59 32.0","+02 10 18","0.92","0.68","0.40","1.2","21.92","19.9","0.22","22.6"
"5936 + 3621","09 59 36.7","+02 36 21","0.25","2.40","0.71","0.9","19.14","-42.4","0.15","22.1"
"5939 + 3044","09 59 39.1","+02 30 44","0.73","0.70","0.58","1.7","20.08","76.9","0.00","22.9"
"5940 + 3253","09 59 40.4","+02 32 53","0.41","1.53","0.51","1.4","19.45","58.4","0.40","22.5"
"5940 + 5012","09 59 40.0","+02 50 12","0.36","1.97","","","","","","21.8"
"5942 + 2829","09 59 42.7","+02 28 29","0.72","1.39","0.31","1.6","21.88","34.0","0.04","22.8"
"5943 + 2816","09 59 43.1","+02 28 16","0.39","1.64","0.69","1.3","19.43","79.9","0.01","22.4"
"5951 + 1236","09 59 51.0","+02 12 36","0.46","1.53","1.21","2.2","18.66","20.9","0.29","21.9"
"5959 + 0348","09 59 59.7","+02 03 48","0.82","1.20","0.20","3.5","21.62","-49.2","0.20","22.8"
