Cand;objID;RAJ2000.;DEJ2000.;Grade;z;imag;Notes;r_z;SimbadName
DESJ0002-3507 ;139741252;000.59845;-35.12122; 2.3; 0.51; 19.2;   ;        ;DES J000223.62-350716.3
DESJ0003-3348 ;139823797;000.81825;-33.80120; 2.7; 0.68; 19.3;   ;        ;DES J000316.38-334804.3
DESJ0006-4429 ;142775105;001.68592;-44.49735; 2.0; 0.53; 18.6;a  ;       1;[DBL2017] DES J0006-4429 (A)
DESJ0007-4434 ;142779522;001.87201;-44.57949; 3.0; 0.52; 18.1;a  ;       1;[DBL2017] DES J0007-4434 (A)
DESJ0010-4315 ;182452355;002.62678;-43.25413; 2.3; 0.84; 19.9;d  ;        ;DES J001030.42-431514.8
DESJ0011-4614 ;182003535;002.97135;-46.23942; 3.0; 0.60; 18.5;a,d;     1,2;[DBL2017] DES J0011-4614 (A)
DESJ0013+0040 ;179698697;003.29016;+00.66767; 2.3; 0.75; 20.0;   ;        ;DES J001309.63+004003.6
DESJ0013-0335 ;180799530;003.29224;-03.59597; 2.3; 0.53; 19.1;   ;        ;DES J001310.13-033545.4
DESJ0013-4239 ;184282860;003.38649;-42.65808; 2.0; 0.89; 20.0;   ;        ;DES J001332.75-423929.0
DESJ0014+0041 ;179696961;003.60116;+00.69596; 2.0; 0.59; 19.4;   ;        ;DES J001424.27+004145.4
DESJ0015-0230 ;181705322;003.96725;-02.51252; 2.0; 0.77; 20.1;   ;        ;DES J001552.14-023045.0
DESJ0015-4636 ;190717082;003.92831;-46.60305; 2.3; 0.44; 18.4;   ;        ;DES J001542.79-463610.9
DESJ0017+0158 ;189671458;004.32556;+01.97183; 2.0; 0.75; 18.8;   ;        ;DES J001718.13+015818.5
DESJ0018-4549 ;191052533;004.50945;-45.82622; 2.3; 0.51; 18.9;   ;        ;DES J001802.26-454934.3
DESJ0019-4136 ;189506468;004.81803;-41.61405; 2.0; 0.49; 18.5;   ;        ;DES J001916.32-413650.5
DESJ0021-4040 ;195762492;005.39182;-40.66717; 2.0; 0.56; 18.6;a  ;       1;[DBL2017] DES J0021-4040 (A)
DESJ0024-3400 ;204184446;006.23732;-34.01479; 2.7; 0.69; 19.5;   ;        ;DES J002456.95-340053.2
DESJ0025-3139 ;199018206;006.29223;-31.65755; 2.7; 0.45; 19.4;   ;        ;DES J002510.13-313927.1
DESJ0026-5504 ;204588321;006.52789;-55.07581; 2.0; 0.40; 17.2;   ;        ;DES J002606.69-550432.9
DESJ0027-0413 ;202591480;006.75025;-04.22321; 3.0; 0.57; 18.0;   ;        ;DES J002700.08-041323.6
DESJ0028-5108 ;147213612;007.19578;-51.14695; 2.3; 0.60; 19.1;   ;        ;DES J002846.98-510849.0
DESJ0031-6420 ;150263838;007.83200;-64.34380; 2.3; 0.64; 20.1;   ;        ;DES J003119.68-642037.6
DESJ0034-2405 ;208995017;008.52670;-24.09052; 2.3; 0.50; 19.8;   ;        ;DES J003406.40-240525.8
DESJ0035-2526 ;210368868;008.78153;-25.44932; 2.7; 0.74; 19.5;   ;        ;DES J003507.56-252657.5
DESJ0037-4131 ;154676430;009.36280;-41.53054; 3.0; 0.67; 19.8;a  ;       1;[DBL2017] DES J0037-4131 (A)
DESJ0038-2936 ;157799078;009.69256;-29.60189; 2.7; 0.73; 20.4;d  ;        ;DES J003846.21-293606.8
DESJ0040-3732 ;157101125;010.16456;-37.54704; 2.7; 0.71; 20.0;   ;        ;DES J004039.49-373249.3
DESJ0041-0043 ;157857664;010.28753;-00.73025; 2.7; 0.53; 19.0;a,d;       3;2SLAQ J004109.01-004349.2
DESJ0042-3718 ;272459491;010.73881;-37.31623; 2.7; 0.77; 20.2;   ;        ;DES J004257.31-371858.4
DESJ0046+0127 ;273530428;011.74831;+01.46004; 2.0; 0.55; 19.4;   ;        ;DES J004659.59+012736.1
DESJ0046-0156 ;274369747;011.50837;-01.94118; 2.0; 0.64; 18.7;   ;        ;DES J004602.00-015628.2
DESJ0046-5741 ;273462967;011.55797;-57.69931; 2.3; 0.41; 16.7;d  ;        ;LEDA 386743
DESJ0047-2905 ;274128225;011.75654;-29.08823; 2.0; 0.35; 17.5;   ;        ;DES J004701.56-290517.6
DESJ0048+0311 ;275754958;012.11340;+03.18808; 2.7; 0.39; 18.0;   ;        ;DES J004827.21+031117.0
DESJ0050-1720 ;276477563;012.73017;-17.34235; 2.3; 0.59; 19.4;   ;        ;DES J005055.24-172032.4
DESJ0050-4651 ;278178553;012.55113;-46.86210; 2.7; 0.73; 20.1;   ;        ;DES J005012.27-465143.5
DESJ0052-4650 ;278177446;013.05359;-46.84080; 2.7; 0.52; 18.3;a  ;       1;[DBL2017] DES J0052-4650 (A)
DESJ0053-0502 ;280210635;013.41314;-05.03359; 2.0; 0.54; 19.0;   ;        ;DES J005339.15-050200.9
DESJ0056-4117 ;284471622;014.21105;-41.29355; 2.3; 0.74; 20.0;   ;        ;DES J005650.65-411736.7
DESJ0057-5905 ;287581455;014.39678;-59.08847; 2.3; 0.65; 19.8;   ;        ;DES J005735.22-590518.4
DESJ0058-2317 ;284406080;014.52023;-23.28713; 2.0; 0.83; 19.9;   ;        ;DES J005804.85-231713.6
DESJ0058-5201 ;283879328;014.64465;-52.03323; 2.7; 0.66; 19.1;   ;        ;DES J005834.71-520159.6
DESJ0101-2126 ;289119426;015.49817;-21.44871; 2.7; 0.47; 17.6;c  ;        ;DES J010159.56-212655.3
DESJ0101-3343 ;290880302;015.36604;-33.72201; 3.0; 0.63; 18.7;a  ;      21;DES J010127.84-334319.2
DESJ0101-4917 ;290048397;015.49182;-49.29394; 3.0; 0.77; 19.7;   ;        ;DES J010158.03-491738.1
DESJ0102+0158 ;289961235;015.65959;+01.98243; 3.0; 0.81; 19.7;   ;        ;DES J010238.30+015856.7
DESJ0102-1500 ;289516803;015.51229;-15.00786; 2.0; 0.45; 17.6;   ;        ;DES J010202.94-150028.2
