"objname","old objnames","Photometry Proposal ID","Status","z_spec_Deflector","z_spec_Source","z_phot_Deflector","Nandini","Comments","Michelle","Comments","Makai","Comments","Final Classification"
AGEL221912-434835A,"DESJ2219-4348, ‘Counter-top’
","SOAR,GLAZEBROOK_16773_HST",Observed,0.71,2.167,,Group,,Group,Small arc next to the 2 objects on the right of main deflector,,,Group
AGEL000316-334804A,DESJ0003-3348,"M/2018B/09,GLAZEBROOK_16773_HST",Observed,,1.8342,0.68,Single,,Single,Colour of point source to the left seems to not belong to same redshift as main deflector,,,Single
AGEL000645-442950A,DESJ0006-4429,GLAZEBROOK_16773_HST,Observed,,"2.096918, 2.096790",0.53,Single,,Single,Nice example of einstein ring,,,Single
AGEL001702-100911A,DESI-004.2564-10.1530,HUANG_15867_HST,Observed,0.52,"1.83, n/a",,Group?,,Group,Potential multiple imaging around 3-4 deflectors,,,DISCUSS
AGEL002527+101107A,DESI-006.3643+10.1853,HUANG_15867_HST,Observed,0.458,2.397,,Cluster,,Cluster,"Great for thesis, many objects",,,Cluster
AGEL010158-491738A,DESJ0101-4917,"M/2018B/09,GLAZEBROOK_16773_HST",Observed,,2.6323,0.77,Single (?),,Group,The arcs are not equal distance from the central deflector,,,DISCUSS
AGEL012429-291856A,DESJ0124-2918,GLAZEBROOK_16773_HST,Observed,,1.6057,0.56,Group (?),"Is it even a lens? arcs are not very clear, but they are there. It looks like a single deflector lens but the messy multiple image configuration makes me question the contribution from neighbouring galaxy. not sure how the only main deflector at the centre can cause this. ",Single,The sources seem to be fairly equidistant from the central deflector,,,DISCUSS
AGEL013204-160014A,DESI-023.0157-16.0040,HUANG_15867_HST,Observed,,,,Single,,Single,,,,Single
AGEL013355-643413A,DESJ0133-6434,GLAZEBROOK_16773_HST,Observed,,2.0931,0.39,Single,,Single,Beautiful arc,,,Single
AGEL013442+043350A,DESI-023.6765+04.5639,HUANG_15867_HST,Observed,0.551,"1.5, 2.03",,Cluster/Group,"Einstein radius seems big enough, like a cluster would cause, but it maybe a group",Cluster (?),Can see multiple lensed sources,,,DISCUSS
AGEL013639+000818A,DESI-024.1631+00.1384,HUANG_15867_HST,Observed,0.344125,2.629,,Group,2 big galaxies act as deflector,Group,"2 deflectors, good test lens",,,Group
AGEL014156+304531A,DESI-025.4848+30.7585,HUANG_15867_HST,Observed,0.524,,,Single,"my god, is this a lens?",Single,Only the very centre with the einstein ring is the lensed source,,,Single
AGEL014253-183116A,DESJ0142-1831,"M/2018B/09,GLAZEBROOK_16773_HST",Observed,0.637,2.47,,Single,,Single,,,,Single
AGEL020145-273942A,DESI-030.4360-27.6618,HUANG_15867_HST,Observed,,,,Group?,,Group,2 deflectors,,,DISCUSS
AGEL021225-085211A,DESJ0212-0852,"M/2018B/09,GLAZEBROOK_16773_HST",Observed,0.7592573,2.201,,Single,,Single,,,,Single
AGEL021514-290925A,DESI-033.8095-29.1570,HUANG_15867_HST,Observed,,,,Single,,Single,4 multiple images of same source?,,,Single
AGEL022709-471856A,DESJ0227-4718,GLAZEBROOK_16773_HST,Observed,0.603,,,Single,,Single,,,,Single
AGEL025029-410418A,DESJ0250-4104,GLAZEBROOK_16773_HST,Observed,,,,Single,Shell like structure formed by arcs,Single (?),"Multiple, overlapping arcs",,,DISCUSS
AGEL030022-500129A,DESJ0300-5001,GLAZEBROOK_16773_HST,Observed,,,,Group,,Group,Wide arcs which may be due to multiple deflectors,,,Group
AGEL032216-523440A,DESJ0322-5234,GLAZEBROOK_16773_HST,Observed,,,,Single,big nearby perturber,Single ,,,,DISCUSS
AGEL032904-565658A,DESJ0329-5656,GLAZEBROOK_16773_HST,Observed,,,,Single,"Non a lens? a very faint arc, it may be unmodellable",Single,,,,Single
AGEL034131-513045A,DESJ0341-5130,GLAZEBROOK_16773_HST,Observed,,2.0353,0.42,Group,"Very interesting, perturber clearly affecting the arc",Group,,,,Group
AGEL035346-170639A,DCLS0353-1706,GLAZEBROOK_16773_HST,Observed,,"1.672, 1.46",0.6,Single,,Single,,,,Single
AGEL041645-552500A,DESJ0416-5525,GLAZEBROOK_16773_HST,Observed,,,,Group?,"A pertuber near arc, also tiny possible perturbers near main deflector",Single,,,,DISCUSS
AGEL042439-331742A,DESJ0424-3317,GLAZEBROOK_16773_HST,Observed,0.566,1.18,,Single,"Very clear einstein cross, lensed starf forming galaxy",Single,Nice example of quad,,,Single
AGEL042816-321800A,DESJ0428-3218,GLAZEBROOK_16773_HST,Observed,,,,Single,,Single,,,,Single
AGEL044821-192502A,DESI-072.0873-19.4172,HUANG_15867_HST,Observed,,,,Group,,Cluster ,There seems to be multiple lensed sources at a larger einstein radius,,,DISCUSS
AGEL053724-464702A,DESJ0537-4647,GLAZEBROOK_16773_HST,Observed,,2.3443,0.41,Single,,Single,,,,Single
AGEL053746-471120A,DESJ0537-4711,GLAZEBROOK_16773_HST,Observed,,,,Group,,Single/Group,The 2 sources next to deflector might be deflectors,,,DISCUSS
AGEL060357-355806A,"DESJ0603-3558, DESI-090.9854-35.9683",GLAZEBROOK_16773_HST,Observed,,1.431,0.51,Cluster,Look at the second farther lensed source :-p,Cluster,Multiple arcs and brilliant example of cluster lens. Used in Tania proposal,,,Cluster
AGEL060359-355835A,DESJ0603-3558A,GLAZEBROOK_16773_HST,Observed,,,,Same as above,,Same as above,Same as above,,,Same as above
AGEL061815+501821A,DESI-094.5639+50.3059,HUANG_15867_HST,Observed,,,0.52,Single,,Single,,,,Single
AGEL075524+344540A,DESI-118.8480+34.7610,HUANG_15867_HST,Observed,0.722,2.635,,Single,Huge perturber closeby,Single,,,,Single
AGEL080820+103142A,DESI-122.0852+10.5284,HUANG_15867_HST,Observed,0.475,"1.3025, 1.4524",,Group,Can be a cluster,Group/Cluster,"Multiple lensed sources, good for thesis to confirm",,,DISCUSS
AGEL085331+232155A,DESI-133.3800+23.3652,HUANG_15867_HST,Observed,,2.188,0.28,No image,,Single,No image,,,DISCUSS
AGEL085413-042409A,DCLS0854-0424         ,GLAZEBROOK_16773_HST,Observed,,2.393,,Single,,Single (?),"This was a point of discussion, so not gonna touch",,,DISCUSS
AGEL092315+182943A,DESI-140.8110+18.4954,HUANG_15867_HST,Observed,0.873,2.417,,Group,,Group,Great for thesis,,,Group
AGEL101807-000812A,DESI-154.5307-00.1368,HUANG_15867_HST,Observed,0.372,2.59,,Single,,Single ,,,,DISCUSS
AGEL101847-012132A,DESI-154.6972-01.3590,HUANG_15867_HST,Observed,0.388,1.43,,Single,Big perturber closeby,Single,,,,Single
AGEL103255+751854A,DESI-158.2306+75.3149,HUANG_15867_HST,Observed,,,,No image,,Single,No image,,,DISCUSS
AGEL104056-010359A,DESI-160.2351-01.0663,HUANG_15867_HST,Observed,0.25,1.21,,Single,,Single,Huge galaxy deflector,,,Single
AGEL105100-055628A,DLS432021848,GLAZEBROOK_16773_HST,Observed,,1.94,,Single,,Group,Very interesting configuration,,,DISCUSS
AGEL110154-060232A,DESI-165.4754-06.0423,HUANG_15867_HST,Observed,0.487,1.68,,Single,clear einstein cross,Single,Nice quad example,,,Single
AGEL110245+121111A,DESI-165.6876+12.1864,HUANG_15867_HST,Observed,,1.907,1.02,Group,,Cluster,Lens within lens,,,DISCUSS
AGEL120535+411044A,DESI-181.3974+41.1790,HUANG_15867_HST,Observed,0.476,2.65,,Group,,Group,,,,Group
AGEL122537-072508A,DESI-186.4028-07.4188,HUANG_15867_HST,Observed,0.369,,,Single,,Single,,,,Single
AGEL122719+172557A,DESI-186.8292+17.4324,HUANG_15867_HST,Observed,,,0.37,Group,"WTH, it has two nested single lens configuration.It is complicated",Group,"might be worthy to model, but not prefered currently",,,Group
AGEL123736+553343A,DESI-189.4008+55.5619,HUANG_15867_HST,Observed,0.41,1.864,,Group/Cluster,Big Eintein radius,Group,Interesting arcs,,,DISCUSS
AGEL123809+150151A,DESI-189.5370+15.0309,HUANG_15867_HST,Observed,,1.16,,Cluster/Group,"Wow, I see shells",Cluster,Perfect for thesis,,,DISCUSS
AGEL125146+014256A,DESI-192.9428+01.7155,HUANG_15867_HST,Observed,0.673,,,Cluster/Group,Big Eintein radius,Cluster,Quite a lot of deflectors,,,DISCUSS
