"Name","ObsDate","Instrument","Slit",Width","Seeing","Exp_Time","z_l","z_s","sigma","SNR","Resolution","Grade"

SL2SJ020833-071414,2011Nov29,LRIS,1.0,1.62,1.0,900,0.428,,295,17,150,B
SL2SJ021206-075528,2011Jan28,LRIS,0.7,1.62,0.6,2700,0.460,,257,28,120,B
SL2SJ021247-055552,2010Oct8,XSHOOTER,0.9,1.60,0.7,2800,0.750,2.74,273,22,47,A
SL2SJ021325-074355,2007Sep14,LRIS,1.0,1.68,0.6,1800,0.717,3.48,293,5,220,A
SL2SJ021411-040502,2010Oct8,XSHOOTER,0.9,1.60,0.7,2800,0.609,1.88,209,27,49,A
SL2SJ021737-051329,2006Dec23,LRIS,1.5,1.68,0.6,2400,0.646,1.85,239,11,160,A
SL2SJ021801-080247,2011Jan28,LRIS,0.7,1.62,0.6,1800,,2.06,,6,120,B
SL2SJ021902-082934,2007Sep13,LRIS,1.0,1.68,0.7,2700,0.389,2.15,289,21,210,A
SL2SJ022046-094927,2012Dec9,DEIMOS,1.0,1.90,0.8,1800,0.572,,254,10,170,B
SL2SJ022056-063934,2007Sep13,LRIS,1.0,1.68,0.8,1800,0.330,,231,23,220,B
SL2SJ022346-053418,2011Nov30,LRIS,1.0,1.62,0.6,900,0.499,1.44,288,20,140,B
SL2SJ022357-065142,2010Aug6,LRIS,1.0,1.64,1.0,900,0.473,,312,23,160,A
SL2SJ022511-045433,2009Sep9,LRIS,1.0,0.81,0.7,1800,0.238,1.20,234,54,500,A
SL2SJ022610-042011,2007Sep14,LRIS,1.0,1.62,0.6,1800,0.494,1.23,263,15,230,A
SL2SJ022648-040610,2010Oct8,XSHOOTER,0.9,1.60,0.6,2800,0.766,,324,43,47,A
SL2SJ022648-090421,2007Sep14,LRIS,1.0,1.68,0.6,1800,0.456,,302,23,220,B
SL2SJ023251-040823,2010Oct6,XSHOOTER,1.0,1.60,0.7,2800,0.352,2.34,247,37,49,A
SL2SJ084847-035103,2011Jan3,XSHOOTER,0.9,1.60,1.0,2800,0.682,1.55,197,19,49,A
SL2SJ084909-041226,2012Dec9,DEIMOS,1.0,1.88,0.8,6000,0.722,1.54,275,26,160,A
SL2SJ084934-043352,2011Jan28,LRIS,0.7,1.62,0.6,1800,0.373,,245,23,120,B
SL2SJ084959-025142,2011Jan1,XSHOOTER,0.9,1.60,0.8,2800,0.274,2.09,276,67,47,A
SL2SJ085019-034710,2011Jan28,LRIS,0.7,1.62,0.6,2700,0.337,3.25,290,26,120,A
SL2SJ085327-023745,2011Nov30,LRIS,1.0,1.62,0.9,4800,0.774,2.44,,,150,A
SL2SJ085540-014730,2011Jan28,LRIS,0.7,1.62,0.6,3600,0.365,3.39,222,24,120,A
SL2SJ085559-040917,2011Jan28,LRIS,0.7,1.62,0.6,3600,0.419,2.95,281,33,120,B
SL2SJ085826-014300,2011Nov30,LRIS,1.0,1.62,0.9,3600,0.580,,233,,160,A
SL2SJ090106-025906,2011Jan7,XSHOOTER,0.9,1.60,0.7,2800,0.670,1.19,,7,49,A
SL2SJ090407-005952,2010Dec30,XSHOOTER,0.9,1.60,0.7,2800,0.611,2.36,183,22,52,A
SL2SJ095921+020638,2011Feb2,XSHOOTER,0.9,1.60,0.7,2800,0.552,3.35,188,17,47,A
SL2SJ135847+545913,2011Apr29,LRIS,1.0,1.62,0.8,2700,0.510,,287,28,150,A
SL2SJ135949+553550,2011Apr29,LRIS,1.0,1.62,0.9,5400,0.783,2.77,234,12,150,A
SL2SJ140123+555705,2006Jul20,LRIS,1.5,3.36,0.8,1200,0.527,,332,10,210,A
SL2SJ140156+554446,2011Apr29,LRIS,1.0,1.62,0.8,2700,0.464,,297,34,150,A
SL2SJ140221+550534,2008Feb21,SDSS,,,,,0.412,,,,,A
SL2SJ140454+520024,2011Apr30,LRIS,1.0,1.62,0.9,1800,0.456,1.59,342,38,140,A
SL2SJ140546+524311,2011Apr29,LRIS,1.0,1.62,0.8,2700,0.526,3.01,284,30,140,A
SL2SJ140614+520253,2006Jul20,LRIS,1.5,3.36,0.8,1200,0.480,,247,11,190,C
SL2SJ140650+522619,2011Apr30,LRIS,1.0,1.62,0.9,3600,0.716,1.47,247,16,160,A
SL2SJ141137+565119,2010Jan14,LRIS,1.0,1.62,1.3,2700,0.322,1.42,214,35,470,A
SL2SJ142003+523137,2011Apr30,LRIS,1.0,1.62,0.9,2700,0.354,1.41,,4,150,A
SL2SJ142031+525822,2011Apr29,LRIS,1.0,1.62,0.8,1800,0.380,0.99,246,24,150,B
SL2SJ142059+563007,2011Apr30,LRIS,1.0,1.62,0.8,1800,0.483,3.12,228,18,160,A
SL2SJ142731+551645,2011Apr30,LRIS,1.0,1.62,0.8,3600,0.511,2.58,,12,150,A
SL2SJ220329+020518,2010Aug6,LRIS,1.0,1.62,0.9,2700,0.400,2.15,213,36,170,A
SL2SJ220506+014703,2010Oct6,XSHOOTER,0.9,1.60,0.8,2800,0.476,2.53,317,29,49,A
SL2SJ220629+005728,2007Sep13,LRIS,1.0,1.68,0.7,2700,0.704,,290,6,230,B
SL2SJ221326-000946,2011Jul29,XSHOOTER,0.9,1.60,0.8,2800,0.338,3.45,177,32,56,A
SL2SJ221407-180712,2007Sep13,LRIS,1.0,1.68,0.7,2700,0.651,,200,6,220,B
SL2SJ221852+014038,2010Aug6,LRIS,1.0,1.62,0.9,2700,0.564,,305,28,170,B
SL2SJ221929-001743,2007Sep14,LRIS,0.7,1.68,0.6,1800,0.289,1.02,189,23,420,B
SL2SJ222012+010606,2012Aug18,DEIMOS,1.0,1.88,1.2,3600,0.232,1.07,127,14,170,C
SL2SJ222148+011542,2012Aug18,DEIMOS,1.0,1.88,1.2,3600,0.325,2.35,222,25,160,A
SL2SJ222217+001202,2010Aug6,LRIS,1.0,1.62,0.9,900,0.436,1.36,221,13,170,B
