#name,ra,dec,z_lens,z_source,zl_phot,zs_phot,Rein,lens_mag_i,source_mag_i,type,discovery,grade,Reference
014404-000746,26.016763,-0.129585,0.563,-99.000,-99.00,-99.00,-99.,21.16,-99.00,GG,Y,A,"SuGOHI8 DES"
015310-042315,28.294120,-4.387660,0.306,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,A,SuGOHI10
015618-010747,29.075537,-1.129772,0.542,1.167,-99.00,-99.00,0.84,18.78,23.22,GG,Y,A,"SuGOHI2 SuGOHI3"
015731-033057,29.381206,-3.516018,0.621,-99.000,-99.00,-99.00,-99.,19.98,21.41,GG,YCN,A,"SuGOHI1 SuGOHI10"
020141-030946,30.424920,-3.162793,0.362,-99.000,-99.00,-99.00,-99.,18.51,22.12,GG,Y,A,SuGOHI1
020241-064611,30.672475,-6.769788,0.502,2.748,-99.00,-99.00,1.16,19.19,23.95,GG,YECN,A,"SuGOHI1 SuGOHI3 SuGOHI10"
020517-012320,31.320860,-1.389010,0.770,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,A,"SuGOHI10 DES"
020955-024442,32.480900,-2.745000,-99.000,-99.000,0.56,-99.00,-99.,20.08,-99.00,GG,VY,A,"SuGOHI5 SuGOHI6"
021737-051329,34.404922,-5.224821,0.646,1.847,-99.00,-99.00,1.27,19.70,-99.00,GG,KVCN,A,"SL2S DES Gavazzi et al. 2014 SuGOHI3 SuGOHI5 SuGOHI10"
021742-002206,34.425111,-0.368465,0.607,-99.000,-99.00,-99.00,-99.,21.36,-99.00,GG,Y,A,SuGOHI8
022346-053418,35.942272,-5.571803,0.499,1.444,-99.00,-99.00,1.22,18.70,-99.00,GG,KV,A,"SL2S Gavazzi et al. 2014 SuGOHI3 SuGOHI5"
022610-042011,36.544397,-4.336562,0.496,-99.000,-99.00,-99.00,1.19,18.57,22.52,GG,YKCN,A,"SuGOHI1 SL2S SuGOHI3 SuGOHI10"
023217-021703,38.072379,-2.284367,0.508,-99.000,-99.00,-99.00,-99.,19.37,22.78,GG,YC,A,SuGOHI1
023251-040823,38.214860,-4.139942,0.352,2.344,-99.00,-99.00,1.04,18.72,-99.00,GG,KCN,A,"SL2S SuGOHI10"
023322-020530,38.344300,-2.091800,-99.000,-99.000,0.49,-99.00,-99.,19.95,-99.00,GG,VY,A,"SuGOHI5 SuGOHI6"
085046+003905,132.694211,0.651490,-99.000,-99.000,0.84,-99.00,-99.,21.64,-99.00,GG,VYCN,A,"SuGOHI6 SuGOHI10"
