#name,ra,dec,z_lens,z_source,zl_phot,zs_phot,Rein,lens_mag_i,source_mag_i,type,discovery,grade,Reference
000326-002140,0.859800,-0.361330,0.794,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
001309+004003,3.290150,0.667590,0.743,-99.000,0.69,-99.00,-99.,-99.,-99.00,GG,CNN,B,"SuGOHI10 DES"
001313+002759,3.306680,0.466650,0.542,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
001424+004145,3.601166,0.695906,0.570,-99.000,-99.00,-99.00,-99.,21.20,-99.00,GG,Y,B,"SuGOHI8 DES"
010705+020852,16.773460,2.147930,0.637,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
011219-001539,18.079510,-0.260940,0.541,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
012018+001125,20.075568,0.190486,0.599,-99.000,-99.00,-99.00,-99.,21.59,-99.00,GG,YCN,B,"SuGOHI8 SuGOHI10"
012204-002222,20.519150,-0.372820,1.036,-99.000,0.85,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
012402-004559,21.010600,-0.766480,0.537,-99.000,0.54,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
015424-003939,28.603200,-0.661000,-99.000,-99.000,0.18,-99.00,-99.,-99.,-99.00,GG,V,B,SuGOHI5
015453-050020,28.724910,-5.005690,0.410,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
015529-015911,28.874310,-1.986670,0.737,-99.000,0.72,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
015702-053436,29.259980,-5.576690,0.319,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
015713-045446,29.308090,-4.913040,0.774,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
015719-050039,29.332600,-5.010900,-99.000,-99.000,0.28,-99.00,-99.,18.22,-99.00,GG,VCN,B,"SuGOHI5 SuGOHI10"
015731-021503,29.381090,-2.250910,0.683,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
015735-044647,29.399350,-4.779970,0.606,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
015745-052747,29.440730,-5.463190,0.928,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
015750-003818,29.459938,-0.638486,0.520,-99.000,-99.00,-99.00,-99.,18.59,21.98,GG,Y,B,SuGOHI2
015759-054449,29.496197,-5.747078,-99.000,-99.000,0.73,-99.00,-99.,20.35,-99.00,GG,VCN,B,"SuGOHI6 SuGOHI10"
015913-054320,29.805601,-5.722426,-99.000,-99.000,0.93,-99.00,-99.,21.20,-99.00,GG,VCN,B,"SuGOHI6 SuGOHI10"
