#name,ra,dec,z_lens,z_source,zl_phot,zs_phot,Rein,lens_mag_i,source_mag_i,type,discovery,grade,Reference
000008+022658,0.035240,2.449440,-99.000,-99.000,0.43,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
000051-002936,0.215730,-0.493490,-99.000,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
000106+010329,0.277103,1.058266,0.721,-99.000,-99.00,-99.00,-99.,21.29,-99.00,GG,Y,C,SuGOHI8
000158+043438,0.492786,4.577447,0.675,-99.000,-99.00,-99.00,-99.,21.93,-99.00,GG,Y,C,SuGOHI8
000222+042125,0.595733,4.357103,0.707,-99.000,-99.00,-99.00,-99.,21.69,-99.00,GG,Y,C,SuGOHI8
000300+005337,0.750000,0.893800,-99.000,-99.000,0.97,-99.00,-99.,21.17,21.76,GG,V,C,SuGOHI5
000449+041056,1.204751,4.182399,0.493,-99.000,-99.00,-99.00,-99.,20.44,-99.00,GG,Y,C,SuGOHI8
000549+011632,1.456420,1.275710,-99.000,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
000644+014123,1.685800,1.689900,-99.000,-99.000,0.36,-99.00,-99.,19.09,-99.00,GG,V,C,SuGOHI5
000659+003955,1.749120,0.665400,-99.000,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
000733+022624,1.889846,2.440086,0.465,-99.000,-99.00,-99.00,-99.,20.90,-99.00,GG,Y,C,SuGOHI8
000811+011023,2.046500,1.173220,-99.000,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
000813+013510,2.055920,1.586340,-99.000,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
000831+011926,2.129490,1.324070,-99.000,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
000914+001033,2.310900,0.175800,-99.000,-99.000,0.57,0.97,-99.,20.16,23.89,GG,V,C,SuGOHI5
001144+010102,2.935905,1.017489,0.794,-99.000,-99.00,-99.00,-99.,21.81,-99.00,GG,Y,C,SuGOHI8
001227+002716,3.114000,0.454500,-99.000,-99.000,0.74,-99.00,-99.,20.63,23.32,GG,V,C,SuGOHI5
001317+020931,3.324348,2.158807,0.543,-99.000,-99.00,-99.00,-99.,20.50,-99.00,GG,Y,C,SuGOHI8
002037+002058,5.157520,0.349658,0.329,-99.000,-99.00,-99.00,-99.,19.93,-99.00,GG,Y,C,SuGOHI8
002624+041825,6.603926,4.307070,0.717,-99.000,-99.00,-99.00,-99.,21.38,-99.00,GG,Y,C,SuGOHI8
002652+030356,6.717077,3.065561,0.647,-99.000,-99.00,-99.00,-99.,21.21,-99.00,GG,Y,C,SuGOHI8
003254+004839,8.225708,0.810861,0.657,-99.000,-99.00,-99.00,-99.,21.29,-99.00,GG,Y,C,SuGOHI8
