mu  pmu  pmuanyl
0.010000 1.201885e+01 0.000000e+00
0.010393 1.204673e+00 0.000000e+00
0.010801 1.622837e+00 0.000000e+00
0.011225 3.792306e+00 0.000000e+00
0.011665 9.659275e+00 0.000000e+00
0.012123 1.239255e+00 0.000000e+00
0.012599 5.167263e+00 0.000000e+00
0.013094 7.458120e+00 0.000000e+00
0.013608 1.104062e+00 0.000000e+00
0.014142 7.082392e+00 0.000000e+00
0.014697 5.111152e+00 0.000000e+00
0.015274 2.622981e+00 0.000000e+00
0.015873 6.782990e+00 0.000000e+00
0.016496 2.732139e+00 0.000000e+00
0.017144 5.111825e+00 0.000000e+00
0.017817 6.043019e+00 0.000000e+00
0.018516 4.192034e+00 0.000000e+00
0.019243 3.643332e+00 0.000000e+00
0.019999 6.385405e+00 0.000000e+00
0.020784 3.734716e+00 0.000000e+00
0.021600 5.680278e+00 0.000000e+00
0.022448 4.127174e+00 0.000000e+00
0.023329 4.185943e+00 0.000000e+00
0.024245 4.957326e+00 0.000000e+00
0.025196 4.571321e+00 0.000000e+00
0.026185 5.259254e+00 0.000000e+00
0.027213 3.588423e+00 0.000000e+00
0.028282 5.489191e+00 0.000000e+00
0.029392 4.344746e+00 0.000000e+00
0.030546 5.082337e+00 0.000000e+00
0.031745 4.495979e+00 0.000000e+00
0.032991 4.629742e+00 0.000000e+00
0.034286 4.600925e+00 0.000000e+00
0.035632 4.497407e+00 0.000000e+00
0.037031 4.733232e+00 0.000000e+00
0.038484 4.554444e+00 0.000000e+00
0.039995 4.820651e+00 0.000000e+00
0.041565 4.397597e+00 0.000000e+00
0.043197 4.695211e+00 0.000000e+00
0.044893 4.406308e+00 0.000000e+00
0.046655 4.454546e+00 0.000000e+00
0.048486 4.802704e+00 0.000000e+00
0.050390 4.571601e+00 0.000000e+00
0.052368 4.351104e+00 0.000000e+00
0.054423 4.738849e+00 0.000000e+00
0.056560 4.382768e+00 0.000000e+00
0.058780 4.600602e+00 0.000000e+00
0.061088 4.344845e+00 0.000000e+00
0.063486 4.654018e+00 0.000000e+00
0.065978 4.516173e+00 0.000000e+00
0.068568 4.382102e+00 0.000000e+00
0.071260 4.251716e+00 0.000000e+00
0.074057 4.598279e+00 0.000000e+00
0.076964 4.392055e+00 0.000000e+00
0.079985 4.320069e+00 0.000000e+00
0.083125 4.367744e+00 0.000000e+00
0.086388 4.434638e+00 0.000000e+00
0.089780 4.239240e+00 0.000000e+00
0.093304 4.374310e+00 0.000000e+00
0.096967 4.183257e+00 0.000000e+00
0.100773 4.323410e+00 0.000000e+00
0.104729 4.160102e+00 0.000000e+00
0.108840 4.279030e+00 0.000000e+00
0.113113 4.139535e+00 0.000000e+00
0.117553 4.132275e+00 0.000000e+00
0.122168 4.140154e+00 0.000000e+00
0.126964 4.082376e+00 0.000000e+00
0.131948 4.098964e+00 0.000000e+00
0.137127 3.962394e+00 0.000000e+00
0.142510 4.023564e+00 0.000000e+00
0.148105 3.820863e+00 0.000000e+00
0.153919 3.985628e+00 0.000000e+00
0.159961 3.913346e+00 0.000000e+00
0.166240 3.735404e+00 0.000000e+00
0.172766 3.507348e+00 0.000000e+00
0.179548 2.817036e+00 0.000000e+00
0.186596 2.415412e+00 0.000000e+00
0.193921 2.143405e+00 0.000000e+00
0.201534 1.925775e+00 0.000000e+00
0.209445 1.793258e+00 0.000000e+00
0.217667 1.587479e+00 0.000000e+00
0.226212 1.461102e+00 0.000000e+00
0.235092 1.310054e+00 0.000000e+00
0.244320 1.188830e+00 0.000000e+00
0.253911 9.960032e-01 0.000000e+00
0.263879 1.015315e+00 0.000000e+00
0.274238 9.313110e-01 0.000000e+00
0.285003 7.819197e-01 0.000000e+00
0.296191 7.523843e-01 0.000000e+00
0.307818 7.158302e-01 0.000000e+00
0.319902 5.870380e-01 0.000000e+00
0.332460 5.498008e-01 0.000000e+00
