mu  pmu  pmuanyl
0.010000 2.331107e+00 1.941180e+00
0.010393 2.479166e+00 1.938919e+00
0.010801 1.987934e+00 1.936572e+00
0.011225 1.530275e+00 1.934137e+00
0.011665 2.050943e+00 1.931611e+00
0.012123 1.872270e+00 1.928990e+00
0.012599 2.142382e+00 1.926272e+00
0.013094 2.248863e+00 1.923452e+00
0.013608 2.299162e+00 1.920527e+00
0.014142 1.908665e+00 1.917494e+00
0.014697 1.711349e+00 1.914349e+00
0.015274 2.329486e+00 1.911087e+00
0.015873 1.777737e+00 1.907705e+00
0.016496 2.268387e+00 1.904199e+00
0.017144 2.003794e+00 1.900564e+00
0.017817 1.721522e+00 1.896797e+00
0.018516 1.987794e+00 1.892892e+00
0.019243 2.263373e+00 1.888845e+00
0.019999 2.208553e+00 1.884651e+00
0.020784 1.741426e+00 1.880306e+00
0.021600 2.016457e+00 1.875805e+00
0.022448 2.022273e+00 1.871142e+00
0.023329 1.998478e+00 1.866313e+00
0.024245 1.720569e+00 1.861311e+00
0.025196 2.239900e+00 1.856132e+00
0.026185 1.944449e+00 1.850770e+00
0.027213 1.803375e+00 1.845219e+00
0.028282 2.125689e+00 1.839474e+00
0.029392 2.066267e+00 1.833529e+00
0.030546 1.707056e+00 1.827377e+00
0.031745 1.990415e+00 1.821013e+00
0.032991 1.785070e+00 1.814431e+00
0.034286 1.986025e+00 1.807624e+00
0.035632 1.945439e+00 1.800585e+00
0.037031 1.838822e+00 1.793309e+00
0.038484 1.992528e+00 1.785789e+00
0.039995 1.917264e+00 1.778018e+00
0.041565 1.844844e+00 1.769990e+00
0.043197 1.775159e+00 1.761697e+00
0.044893 2.049727e+00 1.753134e+00
0.046655 1.656734e+00 1.744294e+00
0.048486 1.948411e+00 1.735169e+00
0.050390 1.777421e+00 1.725753e+00
0.052368 1.745426e+00 1.716040e+00
0.054423 1.938747e+00 1.706023e+00
0.056560 1.757055e+00 1.695695e+00
0.058780 1.711559e+00 1.685049e+00
0.061088 1.887919e+00 1.674080e+00
0.063486 1.633014e+00 1.662781e+00
0.065978 1.757286e+00 1.651146e+00
0.068568 1.762481e+00 1.639169e+00
0.071260 1.756168e+00 1.626844e+00
0.074057 1.706399e+00 1.614166e+00
0.076964 1.594120e+00 1.601129e+00
0.079985 1.740983e+00 1.587729e+00
0.083125 1.667841e+00 1.573961e+00
0.086388 1.654549e+00 1.559821e+00
0.089780 1.592052e+00 1.545305e+00
0.093304 1.597663e+00 1.530408e+00
0.096967 1.644864e+00 1.515130e+00
0.100773 1.534033e+00 1.499466e+00
0.104729 1.593238e+00 1.483415e+00
0.108840 1.566874e+00 1.466976e+00
0.113113 1.545652e+00 1.450149e+00
0.117553 1.487269e+00 1.432932e+00
0.122168 1.486325e+00 1.415327e+00
0.126964 1.492995e+00 1.397335e+00
0.131948 1.483092e+00 1.378958e+00
0.137127 1.386809e+00 1.360200e+00
0.142510 1.407603e+00 1.341064e+00
0.148105 1.375144e+00 1.321556e+00
0.153919 1.371027e+00 1.301681e+00
0.159961 1.372930e+00 1.281445e+00
0.166240 1.328451e+00 1.260858e+00
0.172766 1.271170e+00 1.239926e+00
0.179548 1.308570e+00 1.218662e+00
0.186596 1.272292e+00 1.197074e+00
0.193921 1.208416e+00 1.175176e+00
0.201534 1.241913e+00 1.152981e+00
0.209445 1.174499e+00 1.130502e+00
0.217667 1.149863e+00 1.107757e+00
0.226212 1.144395e+00 1.084760e+00
0.235092 1.122043e+00 1.061530e+00
0.244320 1.074639e+00 1.038086e+00
0.253911 1.067871e+00 1.014447e+00
0.263879 1.055431e+00 9.906348e-01
0.274238 1.011091e+00 9.666710e-01
0.285003 9.815084e-01 9.425785e-01
0.296191 9.589319e-01 9.183811e-01
0.307818 9.346677e-01 8.941036e-01
0.319902 9.473030e-01 8.697714e-01
0.332460 8.598555e-01 8.454105e-01
0.345511 8.593350e-01 8.210479e-01
0.359074 8.439597e-01 7.967108e-01
0.373170 7.989298e-01 7.724269e-01
0.387819 7.988060e-01 7.482242e-01
0.403043 7.518903e-01 7.241312e-01
0.418865 7.249538e-01 7.001760e-01
0.435307 7.144810e-01 6.763870e-01
0.452396 6.752889e-01 6.527926e-01
0.470155 6.576100e-01 6.294205e-01
0.488611 6.478361e-01 6.062983e-01
0.507792 5.943718e-01 5.834531e-01
0.527725 5.881948e-01 5.609111e-01
0.548442 5.704511e-01 5.386981e-01
0.569971 5.402933e-01 5.168387e-01
0.592346 5.188492e-01 4.953565e-01
0.615599 4.992508e-01 4.742743e-01
0.639764 4.698451e-01 4.536132e-01
0.664879 4.567109e-01 4.333932e-01
0.690979 4.252549e-01 4.136331e-01
0.718104 4.202972e-01 3.943499e-01
0.746294 3.846935e-01 3.755591e-01
0.775590 3.812357e-01 3.572745e-01
0.806036 3.493308e-01 3.395085e-01
0.837678 3.390648e-01 3.222716e-01
0.870561 3.163921e-01 3.055725e-01
0.904736 3.051191e-01 2.894182e-01
0.940252 2.818502e-01 2.738141e-01
0.977162 2.743428e-01 2.587636e-01
1.015521 2.518986e-01 2.442688e-01
1.055386 2.429649e-01 2.303296e-01
1.096816 2.237200e-01 2.169447e-01
1.139872 2.125786e-01 2.041110e-01
1.184619 2.055846e-01 1.918240e-01
1.231122 1.833688e-01 1.800778e-01
1.279450 1.778808e-01 1.688650e-01
1.329676 1.614734e-01 1.581770e-01
1.381873 1.567058e-01 1.480042e-01
1.436120 1.435249e-01 1.383357e-01
1.492496 1.356374e-01 1.291596e-01
1.551084 1.261636e-01 1.204635e-01
1.611973 1.141674e-01 1.122338e-01
1.675252 1.135168e-01 1.044565e-01
1.741016 9.760134e-02 9.711704e-02
1.809360 9.221945e-02 9.020023e-02
1.880388 9.362958e-02 8.369066e-02
1.954204 7.941989e-02 7.757264e-02
2.030918 7.279531e-02 7.183029e-02
2.110643 6.830175e-02 6.644765e-02
2.193497 6.572180e-02 6.140876e-02
2.279605 6.001005e-02 5.669771e-02
2.369092 5.593073e-02 5.229876e-02
2.462092 4.908407e-02 4.819634e-02
2.558744 4.555180e-02 4.437516e-02
2.659189 4.336980e-02 4.082024e-02
2.763577 5.016670e-02 3.751695e-02
2.872063 5.638825e-02 3.445107e-02
2.984808 5.220307e-02 3.160879e-02
3.101979 4.785808e-02 2.897676e-02
3.223749 4.319598e-02 2.654213e-02
3.350299 3.826849e-02 2.429252e-02
3.481818 3.188976e-02 2.221608e-02
3.618499 2.814222e-02 2.030147e-02
3.760545 2.414291e-02 1.853787e-02
3.908168 2.040557e-02 1.691499e-02
4.061586 1.646302e-02 1.542305e-02
4.221026 1.395185e-02 1.405278e-02
4.386726 1.118738e-02 1.279545e-02
4.558929 8.342717e-03 1.164277e-02
4.737893 6.214907e-03 1.058699e-02
4.923883 3.737595e-03 9.620788e-03
5.117173 2.157849e-03 8.737309e-03
5.318051 3.460568e-04 7.930135e-03
5.526815 0.000000e+00 7.193266e-03
5.743774 0.000000e+00 6.521102e-03
5.969250 0.000000e+00 5.908428e-03
6.203576 0.000000e+00 5.350391e-03
6.447102 2.854535e-04 4.842483e-03
6.700188 8.240133e-04 4.380524e-03
6.963208 1.409579e-03 3.960644e-03
7.236553 1.525877e-03 3.579262e-03
7.520629 1.305102e-03 3.233069e-03
7.815857 9.418535e-04 2.919016e-03
8.122674 1.132846e-03 2.634290e-03
8.441535 1.235396e-03 2.376305e-03
8.772913 1.048881e-03 2.142683e-03
9.117299 8.074092e-04 1.931240e-03
9.475205 9.063962e-04 1.739972e-03
9.847161 9.344561e-04 1.567046e-03
10.233718 7.193272e-04 1.410780e-03
10.635450 6.344765e-04 1.269640e-03
11.052951 4.995086e-04 1.142220e-03
11.486843 6.942588e-04 1.027240e-03
11.937766 4.110982e-04 9.235323e-04
12.406392 6.428010e-04 8.300310e-04
12.893413 2.378925e-04 7.457670e-04
13.399553 5.035946e-04 6.698584e-04
13.925561 3.083642e-04 6.015033e-04
14.472219 2.543284e-04 5.399732e-04
15.040336 2.447217e-04 4.846070e-04
15.630754 4.709556e-04 4.348046e-04
16.244350 1.510554e-04 3.900224e-04
16.882033 1.090122e-04 3.497674e-04
17.544749 2.447539e-04 3.135936e-04
18.233480 1.009323e-04 2.810971e-04
18.949248 1.618664e-04 2.519129e-04
19.693113 2.803540e-04 2.257109e-04
20.466180 2.997381e-05 2.021928e-04
21.269594 1.153664e-04 1.810894e-04
22.104546 5.550436e-05 1.621577e-04
22.972275 1.068156e-04 1.451785e-04
23.874068 1.027809e-04 1.299540e-04
24.811261 2.472463e-05 1.163061e-04
25.785244 1.189536e-04 1.040742e-04
26.797461 2.289207e-05 9.311392e-05
27.849414 1.101368e-04 8.329502e-05
28.942661 6.358600e-05 7.450043e-05
30.078825 2.039472e-05 6.662485e-05
31.259590 5.887307e-05 5.957355e-05
32.486707 1.888309e-05 5.326141e-05
33.761994 3.633964e-05 4.761195e-05
35.087345 3.496698e-05 4.255643e-05
36.464722 1.682309e-05 3.803316e-05
37.896170 0.000000e+00 3.398674e-05
39.383810 0.000000e+00 3.036744e-05
40.929848 2.997565e-05 2.713065e-05
42.536577 2.884338e-05 2.423635e-05
44.206380 1.387694e-05 2.164865e-05
45.941731 1.335277e-05 1.933538e-05
47.745205 0.000000e+00 1.726769e-05
49.619476 1.236308e-05 1.541974e-05
51.567322 0.000000e+00 1.376837e-05
53.591633 0.000000e+00 1.229283e-05
55.695409 1.101436e-05 1.097454e-05
57.881770 0.000000e+00 9.796872e-06
60.153959 1.019799e-05 8.744929e-06
62.515344 1.962556e-05 7.805380e-06
64.969426 9.442123e-06 6.966295e-06
67.519845 1.817093e-05 6.217000e-06
70.170383 8.742283e-06 5.547944e-06
72.924969 8.412061e-06 4.950585e-06
75.787689 0.000000e+00 4.417283e-06
78.762786 0.000000e+00 3.941205e-06
81.854673 0.000000e+00 3.516244e-06
85.067934 0.000000e+00 3.136937e-06
88.407334 0.000000e+00 2.798405e-06
91.877824 0.000000e+00 2.496283e-06
95.484551 6.424592e-06 2.226674e-06
99.232862 0.000000e+00 1.986093e-06
103.128316 0.000000e+00 1.771428e-06
107.176689 0.000000e+00 1.579898e-06
111.383983 0.000000e+00 1.409019e-06
115.756437 0.000000e+00 1.256572e-06
120.300535 0.000000e+00 1.120577e-06
125.023015 0.000000e+00 9.992644e-07
129.930878 0.000000e+00 8.910534e-07
135.031404 0.000000e+00 7.945339e-07
140.332154 0.000000e+00 7.084465e-07
145.840988 0.000000e+00 6.316669e-07
151.566076 0.000000e+00 5.631915e-07
157.515906 0.000000e+00 5.021246e-07
163.699300 0.000000e+00 4.476666e-07
170.125428 0.000000e+00 3.991043e-07
176.803818 0.000000e+00 3.558007e-07
183.744372 0.000000e+00 3.171877e-07
190.957383 0.000000e+00 2.827584e-07
198.453546 0.000000e+00 2.520605e-07
206.243975 2.974387e-06 2.246903e-07
