mu  pmu  pmuanyl
0.010000 2.311929e+00 1.941180e+00
0.010393 1.873348e+00 1.938919e+00
0.010801 1.633594e+00 1.936572e+00
0.011225 1.680294e+00 1.934137e+00
0.011665 2.086225e+00 1.931611e+00
0.012123 2.057608e+00 1.928990e+00
0.012599 2.028176e+00 1.926272e+00
0.013094 2.090964e+00 1.923452e+00
0.013608 2.280246e+00 1.920527e+00
0.014142 2.065049e+00 1.917494e+00
0.014697 1.821459e+00 1.914349e+00
0.015274 1.991656e+00 1.911087e+00
0.015873 2.223054e+00 1.907705e+00
0.016496 1.733395e+00 1.904199e+00
0.017144 2.093771e+00 1.900564e+00
0.017817 2.117125e+00 1.896797e+00
0.018516 2.070012e+00 1.892892e+00
0.019243 2.023438e+00 1.888845e+00
0.019999 1.734053e+00 1.884651e+00
0.020784 1.785644e+00 1.880306e+00
0.021600 2.253371e+00 1.875805e+00
0.022448 2.168255e+00 1.871142e+00
0.023329 1.799480e+00 1.866313e+00
0.024245 1.831886e+00 1.861311e+00
0.025196 2.076594e+00 1.856132e+00
0.026185 1.765811e+00 1.850770e+00
0.027213 2.168603e+00 1.845219e+00
0.028282 1.850054e+00 1.839474e+00
0.029392 1.842271e+00 1.833529e+00
0.030546 2.091367e+00 1.827377e+00
0.031745 1.916543e+00 1.821013e+00
0.032991 1.807267e+00 1.814431e+00
0.034286 1.880960e+00 1.807624e+00
0.035632 1.912359e+00 1.800585e+00
0.037031 1.987991e+00 1.793309e+00
0.038484 1.691572e+00 1.785789e+00
0.039995 2.068822e+00 1.778018e+00
0.041565 1.741842e+00 1.769990e+00
0.043197 1.915483e+00 1.761697e+00
0.044893 1.910892e+00 1.753134e+00
0.046655 1.799590e+00 1.744294e+00
0.048486 1.769258e+00 1.735169e+00
0.050390 1.859390e+00 1.725753e+00
0.052368 1.754302e+00 1.716040e+00
0.054423 1.755111e+00 1.706023e+00
0.056560 1.796383e+00 1.695695e+00
0.058780 1.832033e+00 1.685049e+00
