mu  pmu  pmuanyl
0.010000 -nan 0.000000e+00
0.010393 -nan 0.000000e+00
0.010801 -nan 0.000000e+00
0.011225 -nan 0.000000e+00
0.011665 -nan 0.000000e+00
0.012123 -nan 0.000000e+00
0.012599 -nan 0.000000e+00
0.013094 -nan 0.000000e+00
0.013608 -nan 0.000000e+00
0.014142 -nan 0.000000e+00
0.014697 -nan 0.000000e+00
0.015274 -nan 0.000000e+00
0.015873 -nan 0.000000e+00
0.016496 -nan 0.000000e+00
0.017144 -nan 0.000000e+00
0.017817 -nan 0.000000e+00
0.018516 -nan 0.000000e+00
0.019243 -nan 0.000000e+00
0.019999 -nan 0.000000e+00
0.020784 -nan 0.000000e+00
0.021600 -nan 0.000000e+00
0.022448 -nan 0.000000e+00
0.023329 -nan 0.000000e+00
0.024245 -nan 0.000000e+00
0.025196 -nan 0.000000e+00
0.026185 -nan 0.000000e+00
0.027213 -nan 0.000000e+00
0.028282 -nan 0.000000e+00
0.029392 -nan 0.000000e+00
0.030546 -nan 0.000000e+00
0.031745 -nan 0.000000e+00
0.032991 -nan 0.000000e+00
0.034286 -nan 0.000000e+00
0.035632 -nan 0.000000e+00
0.037031 -nan 0.000000e+00
0.038484 -nan 0.000000e+00
0.039995 -nan 0.000000e+00
0.041565 -nan 0.000000e+00
0.043197 -nan 0.000000e+00
0.044893 -nan 0.000000e+00
0.046655 -nan 0.000000e+00
0.048486 -nan 0.000000e+00
0.050390 -nan 0.000000e+00
0.052368 -nan 0.000000e+00
0.054423 -nan 0.000000e+00
0.056560 -nan 0.000000e+00
0.058780 -nan 0.000000e+00
0.061088 -nan 0.000000e+00
0.063486 -nan 0.000000e+00
0.065978 -nan 0.000000e+00
0.068568 -nan 0.000000e+00
0.071260 -nan 0.000000e+00
0.074057 -nan 0.000000e+00
0.076964 -nan 0.000000e+00
0.079985 -nan 0.000000e+00
0.083125 -nan 0.000000e+00
0.086388 -nan 0.000000e+00
0.089780 -nan 0.000000e+00
0.093304 -nan 0.000000e+00
0.096967 -nan 0.000000e+00
0.100773 -nan 0.000000e+00
0.104729 -nan 0.000000e+00
0.108840 -nan 0.000000e+00
0.113113 -nan 0.000000e+00
0.117553 -nan 0.000000e+00
0.122168 -nan 0.000000e+00
0.126964 -nan 0.000000e+00
0.131948 -nan 0.000000e+00
0.137127 -nan 0.000000e+00
0.142510 -nan 0.000000e+00
0.148105 -nan 0.000000e+00
0.153919 -nan 0.000000e+00
0.159961 -nan 0.000000e+00
0.166240 -nan 0.000000e+00
0.172766 -nan 0.000000e+00
0.179548 -nan 0.000000e+00
0.186596 -nan 0.000000e+00
0.193921 -nan 0.000000e+00
0.201534 -nan 0.000000e+00
0.209445 -nan 0.000000e+00
0.217667 -nan 0.000000e+00
0.226212 -nan 0.000000e+00
0.235092 -nan 0.000000e+00
0.244320 -nan 0.000000e+00
0.253911 -nan 0.000000e+00
0.263879 -nan 0.000000e+00
0.274238 -nan 0.000000e+00
0.285003 -nan 0.000000e+00
0.296191 -nan 0.000000e+00
0.307818 -nan 0.000000e+00
0.319902 -nan 0.000000e+00
0.332460 -nan 0.000000e+00
0.345511 -nan 0.000000e+00
0.359074 -nan 0.000000e+00
0.373170 -nan 0.000000e+00
0.387819 -nan 0.000000e+00
0.403043 -nan 0.000000e+00
0.418865 -nan 0.000000e+00
0.435307 -nan 0.000000e+00
0.452396 -nan 0.000000e+00
0.470155 -nan 0.000000e+00
0.488611 -nan 0.000000e+00
0.507792 -nan 0.000000e+00
0.527725 -nan 0.000000e+00
0.548442 -nan 0.000000e+00
0.569971 -nan 0.000000e+00
0.592346 -nan 0.000000e+00
0.615599 -nan 0.000000e+00
0.639764 -nan 0.000000e+00
0.664879 -nan 0.000000e+00
0.690979 -nan 0.000000e+00
0.718104 -nan 0.000000e+00
0.746294 -nan 0.000000e+00
0.775590 -nan 0.000000e+00
0.806036 -nan 0.000000e+00
0.837678 -nan 0.000000e+00
0.870561 -nan 0.000000e+00
0.904736 -nan 0.000000e+00
0.940252 -nan 0.000000e+00
0.977162 -nan 0.000000e+00
1.015521 -nan 0.000000e+00
1.055386 -nan 0.000000e+00
1.096816 -nan 0.000000e+00
1.139872 -nan 0.000000e+00
1.184619 -nan 0.000000e+00
1.231122 -nan 0.000000e+00
1.279450 -nan 0.000000e+00
1.329676 -nan 0.000000e+00
1.381873 -nan 0.000000e+00
1.436120 -nan 0.000000e+00
1.492496 -nan 0.000000e+00
1.551084 -nan 0.000000e+00
1.611973 -nan 0.000000e+00
1.675252 -nan 0.000000e+00
1.741016 -nan 0.000000e+00
1.809360 -nan 0.000000e+00
1.880388 -nan 0.000000e+00
1.954204 -nan 0.000000e+00
2.030918 -nan 0.000000e+00
2.110643 -nan 0.000000e+00
2.193497 -nan 0.000000e+00
2.279605 -nan 0.000000e+00
2.369092 -nan 0.000000e+00
2.462092 -nan 0.000000e+00
2.558744 -nan 0.000000e+00
2.659189 -nan 0.000000e+00
2.763577 -nan 0.000000e+00
2.872063 -nan 0.000000e+00
2.984808 -nan 0.000000e+00
3.101979 -nan 0.000000e+00
3.223749 -nan 0.000000e+00
3.350299 -nan 0.000000e+00
3.481818 -nan 0.000000e+00
3.618499 -nan 0.000000e+00
3.760545 -nan 0.000000e+00
3.908168 -nan 0.000000e+00
4.061586 -nan 0.000000e+00
4.221026 -nan 0.000000e+00
4.386726 -nan 0.000000e+00
4.558929 -nan 0.000000e+00
4.737893 -nan 0.000000e+00
4.923883 -nan 0.000000e+00
5.117173 -nan 0.000000e+00
5.318051 -nan 0.000000e+00
5.526815 -nan 0.000000e+00
5.743774 -nan 0.000000e+00
5.969250 -nan 0.000000e+00
6.203576 -nan 0.000000e+00
6.447102 -nan 0.000000e+00
6.700188 -nan 0.000000e+00
6.963208 -nan 0.000000e+00
7.236553 -nan 0.000000e+00
7.520629 -nan 0.000000e+00
7.815857 -nan 0.000000e+00
8.122674 -nan 0.000000e+00
8.441535 -nan 0.000000e+00
8.772913 -nan 0.000000e+00
9.117299 -nan 0.000000e+00
9.475205 -nan 0.000000e+00
9.847161 -nan 0.000000e+00
10.233718 -nan 0.000000e+00
10.635450 -nan 0.000000e+00
11.052951 -nan 0.000000e+00
11.486843 -nan 0.000000e+00
11.937766 -nan 0.000000e+00
12.406392 -nan 0.000000e+00
12.893413 -nan 0.000000e+00
13.399553 -nan 0.000000e+00
13.925561 -nan 0.000000e+00
14.472219 -nan 0.000000e+00
15.040336 -nan 0.000000e+00
15.630754 -nan 0.000000e+00
16.244350 -nan 0.000000e+00
16.882033 -nan 0.000000e+00
17.544749 -nan 0.000000e+00
18.233480 -nan 0.000000e+00
18.949248 -nan 0.000000e+00
19.693113 -nan 0.000000e+00
20.466180 -nan 0.000000e+00
21.269594 -nan 0.000000e+00
22.104546 -nan 0.000000e+00
22.972275 -nan 0.000000e+00
