Name;RAJ2000;DEJ2000;zl;zs;pzl;Grade;Ref
HSCJ000129.64-000241.6;000.37350;-00.04490; 0.247;      ; 0.260;C;g
HSCJ000300.00+005337.7;000.75000;+00.89380;      ;      ; 0.970;C;g
HSCJ000313.08+005425.2;000.80450;+00.90700;      ;      ; 1.130;B;g
HSCJ000451.84-010316.6;001.21600;-01.05460;      ;      ; 0.480;A;g
HSCJ000505.83+011005.9;001.27430;+01.16830;      ;      ; 1.100;C;g
HSCJ000644.59+014123.6;001.68580;+01.68990;      ;      ; 0.360;C;g
HSCJ000656.11-004051.2;001.73380;-00.68090;      ;      ; 0.570;C;g
HSCJ000814.09+001120.8;002.05870;+00.18910; 0.506;      ; 0.520;C;g
HSCJ000814.21+020120.3;002.05920;+02.02230; 0.367;      ; 0.370;C;g
HSCJ000848.79+001550.8;002.20330;+00.26410; 0.397;      ; 0.400;A;g
HSCJ000914.62+001032.9;002.31090;+00.17580;      ;      ; 0.570;C;g
HSCJ000914.26+014726.9;002.30940;+01.79080;      ;      ; 0.760;C;g
HSCJ001227.36+002716.2;003.11400;+00.45450;      ;      ; 0.740;C;g
HSCJ001454.10-005708.3;003.72540;-00.95230; 0.535;      ; 0.550;B;g
HSCJ001903.65+022348.1;004.76520;+02.39670; 0.267;      ; 0.240;C;g
HSCJ002016.10+000445.8;005.06710;+00.07940; 0.212;      ; 0.230;C;g
HSCJ002455.32+001909.1;006.23050;+00.31920; 0.451;      ; 0.410;C;g
HSCJ003002.52-001028.2;007.51050;-00.17450;      ;      ; 0.340;C;g
HSCJ003150.42-004049.4;007.96010;-00.68040; 0.476;      ; 0.490;C;g
HSCJ003217.54+010037.8;008.07310;+01.01050; 0.390;      ; 0.370;A;g
HSCJ003341.14+024216.6;008.42140;+02.70460;      ;      ; 0.530;C;g
HSCJ003428.15+022522.4;008.61730;+02.42290;      ;      ; 0.320;A;g
HSCJ003554.26+002122.0;008.97610;+00.35610; 0.254;      ; 0.250;C;g
